model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path,source_run
voter,2.0,rho_2,,200,0.6,0,3000,1800018,18,0,1.6251,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.6,0,3000,1800019,19,0,1.682,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800100,0,0,1.596,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800101,1,0,1.5898,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800102,2,0,1.6339,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800103,3,0,1.6383,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800104,4,0,1.7329,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800105,5,0,1.773,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800106,6,0,1.8672,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800107,7,0,1.986,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800108,8,0,1.786,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800109,9,0,1.8427,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800110,10,0,1.7947,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800111,11,0,1.8675,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800112,12,0,1.8629,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800113,13,0,1.798,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800114,14,0,1.7311,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800115,15,0,1.7282,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800116,16,0,1.8197,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800117,17,0,1.7447,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800118,18,0,1.7896,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.8,1,3000,1800119,19,0,1.6382,,final_dense_eta_grid_steps3000_R20_v1
voter,2.0,rho_2,2.0,200,1.0,2,3000,1400200,0,0,1.8426,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_1/steps_3000/realization_000_seed_1400200,final_voter_base_coarse_v1
