model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr,source_run
vicsek,rho_1_over_pi,3.3999999999999999,2600,20,0.2620163045037426,0.11391591305186691,0.02547237253029299,0.3625,0.15730891185816523,0.03517534203813802,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2650,20,0.24844471981144153,0.08960545649452988,0.02003638918766688,0.36875,0.1625600850454994,0.03634954005898836,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2700,20,0.20180370335681302,0.09990901992963096,0.022340336012803608,0.353125,0.13188092403755747,0.02948947110834645,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2750,20,0.22505139017754025,0.14040894263000195,0.031396394036955245,0.3390625,0.09746543858594184,0.021793934613499693,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2800,20,0.2619284836064594,0.13021930214333616,0.02911792115750837,0.3640625,0.12234484753658406,0.027357139578864962,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2850,20,0.2109053869478398,0.13921202515051617,0.031128755152196454,0.34375,0.125,0.02795084971874737,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2900,20,0.23029011554552517,0.09527419155209021,0.02130395688118099,0.3203125,0.10168262127202465,0.022736925329461324,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,2950,20,0.22360084684009154,0.1615782903266264,0.03613000408585333,0.3453125,0.09295233573584905,0.02078477413727414,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,3000,20,0.23169920050780296,0.10718805430240633,0.023967977579611933,0.3359375,0.10954228278956943,0.024494399072798254,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.6000000000000001,0,20,0.13657431214812615,0.08004557476611827,0.017898734647508227,0.1453125,0.04107324821279661,0.009184257506053497,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.6000000000000001,50,20,0.21432766901840483,0.08652457090546775,0.019347482226862642,0.16875,0.05796011559684815,0.012960275845829825,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.6000000000000001,100,20,0.13969496099567763,0.07946089427587484,0.017767996115378007,0.18125,0.06373774391990981,0.014252192813739226,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
